n,t,edge,size,0.003044348733032908*e*v^2,e*v^2 squared_error,25187.506159262994*sqrt(n),sqrt(n) squared_error,50178.807159225864*log(n),log(n) squared_error,2016.0000000000005*n,n squared_error,3.631987493337511*vlog(e),vlog(e) squared_error,0.23808633993376835*n^3,n^3 squared_error,20.94153415088367*n^2,n^2 squared_error
12,0.015273332595825197,120.0,24192.0,52.60634610680865,582710325.9776189,87252.08076759508,3976573786.4156146,179889.141996743,24241600025.953957,24192.000000000007,5.293955920339377e-23,1562.4646760043847,512095868.9799654,411.413,565516318.064569,3015.581,448440721.66356105
13,0.02040863037109375,138.0,26208.0,71.00030115179348,683142753.2575911,90814.84495828777,4174044415.4642334,185683.65102094196,25432483268.55327,26208.000000000007,5.293955920339377e-23,1854.7132071070207,593082577.6168957,523.076,659715320.8857759,3539.119,513878165.79216105
14,0.02924323081970215,168.0,28224.0,100.24431508130759,790945633.8249964,94243.01847522052,4358510800.431509,191048.52842065794,26511827055.409645,28224.000000000007,5.293955920339377e-23,2323.148597214519,670854103.3891746,653.309,760143002.2174809,4104.541,581748302.452681
15,0.03917121887207031,191.0,30240.0,130.83088680208922,906562064.687151,97550.79188732231,4530742704.498415,196043.10978923293,27490671215.780426,30240.000000000007,5.293955920339377e-23,2710.2475561878227,757887269.6175824,803.541,866505118.458681,4711.845,651686697.7040249
16,0.05054903030395508,213.0,32256.0,166.0022477148184,1029767955.741668,100750.02463705197,4691431410.981083,200715.22863690346,28378511712.940514,32256.000000000007,5.293955920339377e-23,3094.453344323559,850395803.3511938,975.202,978488323.516804,5361.033,723339249.931089
17,0.06351351737976074,237.0,34272.0,208.51657777162296,1160320902.8564274,103850.74834053672,4841202220.635742,205104.0096816022,29183575531.855034,34272.00000000001,5.293955920339377e-23,3518.4104987800206,945783267.2095478,1169.718,1095761073.607524,6052.103,796362586.6906091
18,0.09074044227600098,287.0,36288.0,283.08789998726405,1296353695.3296435,106861.53843835676,4980624327.710218,209241.8625158084,29913038559.137154,36288.00000000001,5.293955920339377e-23,4346.648135124044,1020249958.9558147,1388.52,1217973704.2704003,6785.057,870423645.6612489
19,0.10318112373352052,308.0,38304.0,338.49504692846295,1441379566.3416996,109789.79398803569,5110218742.099879,213155.9355234555,30573199356.298637,38304.00000000001,5.293955920339377e-23,4751.953237240875,1125739841.9703753,1633.034,1344759747.373156,7559.894,945200053.739236
20,0.1273021697998047,342.0,40320.0,416.4669066789018,1592291953.3297722,112641.9519116134,5230464728.305721,216869.1964293934,31169618759.864536,40320.00000000001,5.293955920339377e-23,5368.438565405341,1221611646.7162447,1904.691,1475735965.5654812,8376.614,1020379909.1449959
21,0.16080141067504886,379.0,42336.0,508.8294028903872,1749512200.1597111,115423.65354198912,5341805100.273834,220401.24893972336,31707232879.965652,42336.00000000001,5.293955920339377e-23,6046.127097648044,1316954875.2688587,2204.918,1610503742.490724,9235.217,1095661835.2130888
