n,t,edge,size
100,0.29961681365966797,3969,209992
100,0.37711429595947266,5975,209992
100,0.33794665336608887,4974,209996
100,0.4632272720336914,8918,209992
100,0.39809250831604004,7046,210000
100,0.46379613876342773,8931,210000
100,0.40169525146484375,6908,209992
100,0.28386974334716797,3974,209992
100,0.4636540412902832,8887,209996
100,0.46296024322509766,8847,210000
100,0.3374314308166504,4896,210000
100,0.40873217582702637,6977,209996
100,0.366992712020874,5890,209996
100,0.34026074409484863,4994,209996
100,0.39521288871765137,6991,209984
100,0.39980149269104004,6943,210000
100,0.4775209426879883,8930,209992
100,0.28714919090270996,3888,209996
100,0.3438408374786377,5073,210000
100,0.37996649742126465,5909,209988
100,0.397000789642334,6934,210000
100,0.409027099609375,6898,209996
100,0.3343696594238281,4926,209992
100,0.4614870548248291,8925,209992
100,0.3001372814178467,3952,209996
100,0.33623290061950684,5005,209996
100,0.33895182609558105,4978,210000
100,0.37923455238342285,5998,210000
100,0.3714869022369385,5976,210000
100,0.40724611282348633,6958,210000
