n,t,edge,size,0.003237586405879867*e*v^2,e*v^2 squared_error,24105.073117631648*sqrt(n),sqrt(n) squared_error,23.573439495553163*(V+E),(V+E) squared_error,1968.7410319785483*n,n squared_error,0.043420659976820965*v(elog(v)),v(elog(v)) squared_error,0.24781794145676847*n^3,n^3 squared_error,21.193784333820236*n^2,n^2 squared_error
12,0.0021562576293945312,120.0,8300.0,55.9454930936041,67964434.71284366,83502.42271980146,5655404382.927711,3111.6940134130177,26918519.010454316,23624.89238374258,234852326.5732913,224.15247039379264,65219313.32144668,428.229,61964778.676441,3051.905,27542501.129024994
13,0.002597332000732422,138.0,9196.0,75.50699015793025,83183392.74257806,86912.0771244295,6039788643.610274,3559.589363828528,31769124.8595469,25593.633415721128,268882381.6363741,288.2519093704329,79347976.04611471,544.456,74849213.58393599,3581.75,31519803.0625
14,0.003290414810180664,168.0,10136.0,106.60724517281226,100588719.03058009,90192.92488931242,6409111222.73301,4290.365988190676,34171437.00002197,27562.374447699676,303678526.3914402,388.82761490904994,95007369.50467959,680.012,89415709.05614398,4153.982,35784539.352324
15,0.003986120223999024,191.0,11096.0,139.13527579268728,120052884.5845786,93358.54674369947,6767126596.759339,4856.128536083952,38935995.886193804,29531.115479678225,339853482.7490717,486.01793565966585,112571719.40562358,836.386,105259679.428996,4768.601,40035978.105201006
16,0.004545211791992188,213.0,12092.0,176.53911153981738,141978208.1844243,96420.29247052659,7111260910.994672,5398.3176444816745,44805383.47657736,31499.856511656773,376664894.3770582,591.9104368040234,132252059.961529,1015.062,122698555.455844,5425.609,44440768.964880995
17,0.005085468292236328,237.0,13124.0,221.75200569792972,166468003.3064718,99387.76257723209,7441436733.981068,5987.653631870504,50927439.48591505,33468.59754363532,413902649.2124922,715.0682664830229,153981586.76708463,1217.53,141764027.86089998,6125.004,48985945.008016
18,0.006057977676391602,287.0,14176.0,301.05668470995704,192514052.00251186,102269.16397484933,7760405539.099692,7189.899046143715,48805606.53747169,35437.33857561387,452044518.0268863,935.3605867546909,175314532.0715851,1445.274,162071384.487076,6866.786,53424609.297795996
19,0.006942272186279297,308.0,15268.0,359.98075729697064,222249037.74080378,105071.57774641529,8064682576.056456,7708.514715045884,57145817.773437805,37406.079607592415,490094568.71209913,1079.3886202117212,201316692.88665745,1699.783,184096512.559089,7650.956,58019359.297936
20,0.00799250602722168,342.0,16400.0,442.90182032436576,254628982.31580746,107801.1641872543,8354172814.785418,8533.585097390245,61880483.420000836,39374.820639570964,527842383.42045593,1283.6010365262366,228505517.62291065,1982.544,207863037.511936,8477.514,62765784.42019601
21,0.008600473403930664,379.0,17552.0,541.1269542923551,289369801.7771829,110463.32219399218,8632513791.835823,9429.375798221265,65977023.923321635,41343.56167154951,566038406.7711438,1517.9191604236307,257091748.37007004,2295.042,232774767.41376403,9346.459,67330903.10268098
22,0.009430170059204102,415.0,18740.0,650.30160548503,327237188.0045175,113062.81484263558,8896793399.838114,10301.593059556732,71206711.69252113,43312.30270352806,603798060.1538124,1767.8552663449655,288053696.8601343,2638.765,259249768.525225,10257.792,71947852.55526401
23,0.011046171188354492,455.0,19964.0,779.2708599632546,368053832.17657506,115603.86952929586,9146984643.580734,11268.104078874412,75618605.87104863,45281.04373550661,640952703.5055544,2055.4939169741333,320714590.12577444,3015.201,287261787.54240096,11211.512,76606046.19014399
25,0.013314008712768556,543.0,22496.0,1098.75588649548,457842055.6529038,120525.36558815824,9609756517.616783,13389.713633474197,82924451.3891737,49218.52579946371,714093385.1030034,2737.253505610569,390408063.0295466,3872.155,346847602.584025,13246.115,85560372.513225
27,0.01705169677734375,645.0,25160.0,1522.3293159767427,558739475.3663325,125253.6340797022,10018735583.28132,15841.351341011727,86837212.82966395,53156.007863420804,783776456.2887195,3595.5070554967665,465027355.95352966,4877.801,411367596.275601,15450.269,94278876.09236099
29,0.019987106323242188,724.0,27956.0,1971.3145611577568,675203877.3555801,129809.79142647394,10374194827.947657,17750.799940151534,104146108.26153114,57093.4899273779,848993319.2680486,4428.827813265292,553527831.1042632,6044.032,480134341.63302404,17823.973,102657971.12872897
31,0.02288532257080078,828.0,30872.0,2576.173403849857,800653802.7593977,134211.36706776146,10679024785.965542,20249.584526680166,112835710.48782463,61030.971991335,909563591.5741289,5521.558304558992,642644894.153954,7382.744,551745147.433536,20367.227,110350255.78152902
33,0.02753758430480957,947.0,33920.0,3338.867821415007,935205645.3240865,138473.10262361474,10931351268.224117,23101.9707056421,117029757.8135857,64968.454055292095,964006499.2235842,6844.935338601178,733059126.4189273,8905.833,625708550.703889,23080.031,117504927.92096102
