n,t,edge,size,7.1327849368e-09*e*v^2,e*v^2 squared_error,0.04759911070689747*sqrt(n),sqrt(n) squared_error,0.0908667120739649*log(n),log(n) squared_error,0.003969167792523721*n,n squared_error,9.40866425938e-08*v(elog(v)),v(elog(v)) squared_error,5.336739339178e-07*n^3,n^3 squared_error,4.43270840029513e-05*n^2,n^2 squared_error
12,0.0021562576293945312,120.0,8300.0,0.000123254523707904,4.133101627731472e-06,0.1648881562788843,0.026481670838067815,0.3257537553489905,0.10471534053038391,0.047630013510284654,0.002067862473914789,0.0004857078031452388,2.7907367219815413e-06,0.001,1.3369317055330611e-06,0.006,1.477435541158775e-05
13,0.002597332000732422,138.0,9196.0,0.0001663508102960496,5.909669548255443e-06,0.1716210343202058,0.028569011945781955,0.33624679041539046,0.11132196110039462,0.051599181302808377,0.0024011812350233615,0.0006246025368659535,3.891661537606883e-06,0.001,2.551469520563842e-06,0.007,1.938348551177478e-05
14,0.003290414810180664,168.0,10136.0,0.0002348683423989504,9.336364216773306e-06,0.17809956418033351,0.03055823870351641,0.3459618234660014,0.1174236943101645,0.05556834909533209,0.0027329824131226113,0.0008425363606650996,5.992108903602723e-06,0.001,5.246000002694927e-06,0.009,3.25993630398043e-05
15,0.003986120223999024,191.0,11096.0,0.00030653143265898,1.3539373673355288e-05,0.18435056306209707,0.03253133224029754,0.35500630285564055,0.12321516861475097,0.059537516887855815,0.0030859576713051593,0.0010531345177848081,8.602405152856905e-06,0.002,3.944673544177934e-06,0.01,3.616674996019355e-05
16,0.004545211791992188,213.0,12092.0,0.0003889364970338304,1.7274624327481187e-05,0.19039644282758988,0.034540680077447115,0.3634668482958596,0.12882474115061435,0.06350668468037954,0.0034764552851680366,0.0012825891118386818,1.0644706753052051e-05,0.002,6.478103066096086e-06,0.011,4.166429081023669e-05
17,0.005085468292236328,237.0,13124.0,0.0004885458386762424,2.1131696044044882e-05,0.1962561611300068,0.036546233800073186,0.3714143091089251,0.1341968196140989,0.06747585247290326,0.0038925600382112148,0.0015494553158489804,1.2503387769179709e-05,0.003,4.349177997923107e-06,0.013,6.263981215319654e-05
18,0.006057977676391602,287.0,14176.0,0.0006632634057031584,2.910294206236955e-05,0.20194592375577838,0.03837208741920074,0.3789073744760863,0.1390166726938962,0.07144502026542698,0.004275465338540327,0.002026798700648376,1.625040393447421e-05,0.003,9.351227469309384e-06,0.014,6.307571858869412e-05
19,0.006942272186279297,308.0,15268.0,0.0007930800915529184,3.781256341784538e-05,0.20747971337377097,0.04021526531802668,0.38599520627515194,0.14368112684138323,0.0754141880579507,0.004688403263137247,0.0023388877871476,2.1191147926169094e-05,0.004,8.656965618152754e-06,0.016,8.204243314744963e-05
20,0.00799250602722168,342.0,16400.0,0.00097576497935424,4.923465493282786e-05,0.21286969441832163,0.041974662323042256,0.39271939580250964,0.14801477971616658,0.07938335585047443,0.005096653438486227,0.0027813882152216284,2.7155748850544207e-05,0.004,1.594010437740144e-05,0.018,0.00010014993561519438
21,0.008600473403930664,379.0,17552.0,0.0011921665415518153,5.4883010567169545e-05,0.21812652782694064,0.04390116748207414,0.3991154425930972,0.1525019411608157,0.08335252364299814,0.005587869014944067,0.003289123601743912,2.8210436721189247e-05,0.005,1.2963408732412061e-05,0.02,0.00012994920661449214
22,0.009430170059204102,415.0,18740.0,0.001432691182405648,6.395966838483746e-05,0.22325961901321206,0.045723033239974696,0.4052138889042506,0.1566447521028148,0.08732169143552186,0.006067089102317367,0.0038307010232216145,3.1354053484926643e-05,0.006,1.1766066635060268e-05,0.021,0.00013386096485893726
23,0.011046171188354492,455.0,19964.0,0.001716825670363076,8.703668779406653e-05,0.22827731560979087,0.04718937010664695,0.4110412018097741,0.1599960245218304,0.09129085922804558,0.006439209958587343,0.004453974712114329,4.345705438135323e-05,0.006,2.5463843662178987e-05,0.023,0.00014289402325812624
25,0.013314008712768556,543.0,22496.0,0.0024206888879265,0.00011866441680629696,0.23799555353448737,0.05048179658347404,0.4219719433091596,0.16700130750858821,0.09922919481309303,0.007381419202653388,0.00593125467020742,5.45050572529528e-05,0.008,2.823868859938013e-05,0.028,0.00021567834008863788
27,0.01705169677734375,645.0,25160.0,0.003353871141208044,0.00018763042715797657,0.2473322344183265,0.05302912601622007,0.43206099360318206,0.17223271645187677,0.10716753039814048,0.008120863469171118,0.007790972948237032,8.576100583898501e-05,0.011,3.662303388491274e-05,0.032,0.00022345176923647524
29,0.019987106323242188,724.0,27956.0,0.004343038623458531,0.0002447368541954143,0.2563290558296834,0.05585751709650521,0.4414287603450506,0.17761306774463764,0.11510586598318791,0.009047578439246516,0.009596665269450392,0.00010796126529232197,0.013,4.881965477229097e-05,0.037,0.0002894385512566659
31,0.02288532257080078,828.0,30872.0,0.005675614036491254,0.0002961740678358862,0.26502063229626466,0.058629508215846324,0.45017152969382346,0.18257350279757864,0.12304420156823535,0.010031801042022741,0.011964463069865703,0.00011926517223916396,0.016,4.740766690397868e-05,0.043,0.00040460024808073637
33,0.02753758430480957,947.0,33920.0,0.007355919847977914,0.00040729958024814225,0.27343607337527154,0.0604660669271361,0.45836750803134635,0.1856144231782135,0.13098253715328279,0.010700858269822847,0.014832040441679902,0.00016143084485791196,0.019,7.289034576173072e-05,0.048,0.0004187104560827757
35,0.03522181510925293,1077.0,37100.0,0.00941046148674366,0.0006662259758262223,0.2816001365465966,0.06070227727428304,0.46608108304661633,0.1856397087675207,0.13892087273833023,0.010753494553158695,0.018191494592671255,0.0002900318168975027,0.023,0.00014937276456476322,0.054,0.0003526202277910815
38,0.04193568229675293,1252.0,42096.0,0.012895276293821478,0.0008433451808150971,0.2934206245704693,0.06324467619041446,0.47686191834911684,0.1891608308066766,0.1508283761159014,0.011857618767190818,0.02349112006589195,0.0003402018758881034,0.029,0.0001673318764825271,0.064,0.00048683411570982216
41,0.055301427841186516,1497.0,47392.0,0.01794934658370492,0.0013951779742655084,0.3047830194475846,0.062241064550461606,0.48682313542492495,0.18621098411598544,0.16273587949347257,0.011542161401827388,0.03093855484720795,0.0005935495805207302,0.037,0.00033494226102615703,0.075,0.0003880337450959816
44,0.057263612747192376,1697.0,52972.0,0.023433994569083225,0.001144443066076653,0.3157367811387346,0.06680837877836254,0.4960806009782155,0.19256034916014586,0.17464338287104372,0.013778010434328183,0.038353934375734,0.00035757593611200075,0.045,0.00015039619761309937,0.086,0.0008257799523433241
