n,t,edge,size,0.0024825704623534384*e*v^2,e*v^2 squared_error,17858.072245086943*sqrt(n),sqrt(n) squared_error,34578.596421753*log(n),log(n) squared_error,1468.7372147839947*n,n squared_error,2.802892190126649*vlog(e),vlog(e) squared_error,0.18877026938672692*n^3,n^3 squared_error,16.000000000000004*n^2,n^2 squared_error
12,0.004002809524536133,120.0,2612.0,42.89881758946741,6600280.885463197,61862.17690745238,3510583463.5644035,123962.97149955525,14726058283.88587,17624.846577407938,225385562.35678923,1205.7916074201876,1977422.0433619,326.195,5224904.498024999,2304.0,94864.0
13,0.00496220588684082,138.0,3012.0,57.898508323006894,8726715.623128237,64388.195160601295,3767037332.3922176,127956.01159662624,15611006033.857872,19093.58379219193,258617337.26529017,1431.3268348696733,2498527.654963125,414.728,6745821.841984,2704.0,94864.0
14,0.0037145614624023438,168.0,3444.0,81.74608018437402,11304751.421315541,66818.78792937227,4016363745.0929084,131652.98928420473,16437544933.277323,20562.321006975926,293036914.0978733,1792.8297031806867,2726363.3490983793,517.986,8561557.928196,3136.0,94864.0
15,0.004476308822631836,191.0,3908.0,106.68846561963902,14449969.381413175,69164.01640059063,4258347676.4741526,135094.79316948916,17209974702.094326,22031.05822175992,328445239.30929977,2091.5632893790803,3299442.3236913467,637.1,10698786.81,3600.0,94864.0
16,0.005509614944458008,213.0,4404.0,135.3696021712083,18221205.473267987,71432.28898034777,4492791523.633011,138314.385687012,17931991394.844307,23499.795436543915,364649403.3543314,2388.064145987905,4063997.367491476,773.203,13182686.855209,4096.0,94864.0
17,0.006711483001708984,237.0,4932.0,170.03869867797405,22676275.435288563,73630.71813640458,4719513873.585164,141338.72797650733,18606795437.256866,24968.53265132791,401462640.6877295,2715.2420890161097,4914015.635909661,927.428,16036596.903184,4624.0,94864.0
18,0.009437322616577148,287.0,5492.0,230.84926215332155,27679707.086344652,75765.3839005215,4938348484.830074,144190.1537338515,19237177849.179108,26437.269866111903,438704329.76425534,3354.413013127519,4569278.126446571,1100.908,19281688.952464003,5184.0,94864.0
19,0.01059246063232422,308.0,6084.0,276.0320445681541,33732491.77132318,77841.53224278252,5149143433.573973,146887.37111622648,19825589317.6938,27906.0070808959,476199993.0386708,3667.1967183097836,5840938.1023886,1294.775,22936676.100625005,5776.0,94864.0
20,0.010694742202758787,342.0,6708.0,339.6156392499504,40556319.36624581,79863.72697423339,5351760389.128578,149446.2073569459,20374195839.474483,29374.74429567989,513781296.96573687,4142.953288179468,6579464.633821325,1510.162,27017519.874243997,6400.0,94864.0
21,0.01250147819519043,379.0,7364.0,414.93434450729137,48289513.484348305,81835.96782910089,5546073992.338638,151880.171518501,20884923830.364803,30843.481510463887,551286052.0002155,4665.94184412738,7279517.812470762,1748.201,31537198.408401,7056.0,94864.0
