n,t,edge,size
100,1.2272751331329346,3969,160308
100,1.2104322910308838,5975,160308
100,1.210385799407959,4974,160308
100,1.185361623764038,8918,160308
100,1.203629732131958,7046,160308
100,1.1855366230010986,8931,160308
100,1.1955134868621826,6908,160308
100,1.207672357559204,3974,160308
100,1.200089693069458,8887,160308
100,1.2010951042175293,8847,160308
100,1.2072055339813232,4896,160308
100,1.1971116065979004,6977,160308
100,1.2237019538879395,5890,160308
100,1.2022435665130615,4994,160308
100,1.198979139328003,6991,160308
100,1.192373275756836,6943,160308
100,1.1999070644378662,8930,160308
100,1.2281641960144043,3888,160308
100,1.2374801635742188,5073,160308
100,1.2111074924468994,5909,160308
100,1.229146957397461,6934,160308
100,1.1950373649597168,6898,160308
100,1.2122247219085693,4926,160308
100,1.1971931457519531,8925,160308
100,1.2256076335906982,3952,160308
100,1.2060081958770752,5005,160308
100,1.2341094017028809,4978,160308
100,1.2352104187011719,5998,160308
100,1.2092220783233643,5976,160308
100,1.194356918334961,6958,160308
