n,t,edge,size,1.6933980214e-08*e*v^2,e*v^2 squared_error,0.10931978181421233*sqrt(n),sqrt(n) squared_error,0.20724897948318163*log(n),log(n) squared_error,0.009175757471338747*n,n squared_error,1.82943628444943e-05*vlog(e),vlog(e) squared_error,1.2586515530995e-06*n^3,n^3 squared_error,0.0001036367018034939*n^2,n^2 squared_error
12,0.004002809524536133,120.0,2612.0,0.00029261917809792,1.3765512406803304e-05,0.37869483274911986,0.14039411226813198,0.7429798197599344,0.546087021656448,0.11010908965606497,0.011258542683350472,0.007870152572651818,1.4956342251808722e-05,0.002,4.0112459915726505e-06,0.015,0.00012093819835363319
13,0.00496220588684082,138.0,3012.0,0.000394934286550908,2.085996987081478e-05,0.39415807875367825,0.1514734274565795,0.7669123552237737,0.5805680300745742,0.11928484712740371,0.013069666300218451,0.009342211790523487,1.918445171629501e-05,0.003,3.8502519423527695e-06,0.018,0.00016998407533712811
14,0.0037145614624023438,168.0,3444.0,0.0005576021004865921,9.96639241278751e-06,0.4090371691456631,0.16428641629915852,0.789070422126707,0.6167838278797707,0.12846060459874245,0.015561575278173626,0.011701726246878047,6.37948012943688e-05,0.003,5.10598083550576e-07,0.02,0.0002652155083618709
15,0.004476308822631836,191.0,3908.0,0.00072773779969665,1.4051784713989346e-05,0.4233936943774728,0.1754917759201033,0.8096990888923051,0.6483837255431334,0.1376363620700812,0.01773159978086355,0.013651548162612695,8.418501694593239e-05,0.004,2.2687009451692567e-07,0.023,0.00034312713483450715
16,0.005509614944458008,213.0,4404.0,0.000923376073108992,2.1033586985072693e-05,0.4372791272568493,0.18642491176248022,0.8289959179327265,0.6781296912092863,0.14681211954141996,0.01996639780537445,0.015586797143509143,0.00010154960107287307,0.005,2.597073916149383e-07,0.027,0.0004618366498354626
17,0.006711483001708984,237.0,4932.0,0.0011598591067975021,3.082052787055213e-05,0.4507370073894741,0.19715866630782977,0.8471225025245588,0.7062906817354359,0.1559878770127587,0.02228344180894216,0.01772227421449945,0.00012123752313166371,0.006,5.062080617208265e-07,0.03,0.0005423550239796896
18,0.009437322616577148,287.0,5492.0,0.001574656952139432,6.18215113507278e-05,0.4638045542319801,0.20644958116584522,0.8642127010703239,0.7306409476107459,0.16516363448409746,0.024250684207860196,0.02189411673007494,0.00015517171958607322,0.007,5.940541537278477e-06,0.034,0.0006033251202421125
19,0.01059246063232422,308.0,6084.0,0.001882855392034232,7.585722344168683e-05,0.4765138814580671,0.217082770384279,0.8803786420797124,0.7565280014368289,0.17433939195543618,0.026813057517735946,0.023935643198558596,0.00017804052099586098,0.009,2.5359308655024584e-06,0.037,0.0006973581354553461
20,0.010694742202758787,342.0,6708.0,0.0023165684932752,7.019379470628198e-05,0.4888929268440481,0.22867350379422463,0.8957151870650973,0.7832611878243316,0.18351514942677494,0.029866893153074774,0.027040886898443722,0.0002671964464122687,0.01,4.826667282941317e-07,0.041,0.0009184086501572493
21,0.01250147819519043,379.0,7364.0,0.002830328518987746,9.35311360595153e-05,0.5009661751196849,0.23859776014153822,0.9103033034370966,0.8060481174076983,0.1926909068981137,0.032468230216285865,0.030454411842332805,0.00032230782653869684,0.012,2.5148038025145044e-07,0.046,0.0011221509631073022
22,0.013922452926635742,415.0,8052.0,0.0034013592657840402,0.00011069341182041386,0.5127552274818402,0.24883413697044346,0.9242126520376127,0.8286282465975021,0.20186666436945244,0.03532302661486219,0.033856720946297915,0.00039737504147972606,0.013,8.509194018588471e-07,0.05,0.0013015894028308142
23,0.01960921287536621,455.0,8772.0,0.00407592436760873,0.00024128305186523063,0.524279255746268,0.25469185217131785,0.9375035990217608,0.8425301041190666,0.2110424218407912,0.03664667349480007,0.0376538361170141,0.0003256084279330193,0.015,2.124484333044166e-05,0.055,0.0012525078133011449
